token,total_freq,doc_freq,doc_freq_pct
specify,251,165,0.0492
specific,251,193,0.0575
simple,251,189,0.0563
still,248,209,0.0623
remove,248,186,0.0554
launch,248,136,0.0405
hdfs,246,143,0.0426
non,246,183,0.0545
find,244,191,0.0569
property,243,98,0.0292
option,242,170,0.0507
submit,240,149,0.0444
build,240,164,0.0489
design,239,206,0.0614
already,238,213,0.0635
fair,238,103,0.0307
approach,236,172,0.0513
heartbeat,235,97,0.0289
timeline,234,108,0.0322
today,233,203,0.0605
docker,233,62,0.0185
rest,231,142,0.0423
via,231,186,0.0554
every,231,180,0.0536
logic,229,152,0.0453
allocate,228,153,0.0456
restart,228,122,0.0364
copy,228,136,0.0405
match,226,111,0.0331
path,223,117,0.0349
usage,223,155,0.0462
collector,223,78,0.0232
core,222,129,0.0384
high,220,169,0.0504
sub,219,115,0.0343
idea,219,173,0.0515
lot,219,187,0.0557
useful,218,191,0.0569
extend,216,156,0.0465
solution,215,177,0.0527
preemption,214,76,0.0226
know,214,180,0.0536
split,214,88,0.0262
storage,213,101,0.0301
another,212,187,0.0557
web,210,110,0.0328
follow,209,189,0.0563
component,208,124,0.0369
cause,208,172,0.0513
mechanism,206,146,0.0435
apps,206,128,0.0381
look,205,169,0.0504
similar,203,188,0.056
thing,202,179,0.0533
functionality,202,152,0.0453
bit,201,126,0.0375
back,200,160,0.0477
reducer,200,76,0.0226
side,198,124,0.0369
kill,198,105,0.0313
end,197,152,0.0453
keep,196,161,0.048
easy,195,176,0.0524
text,193,103,0.0307
operation,191,138,0.0411
priority,191,81,0.0241
define,190,146,0.0435
across,190,145,0.0432
control,188,129,0.0384
expose,188,137,0.0408
pass,186,152,0.0453
mean,185,155,0.0462
following,184,155,0.0462
configure,183,139,0.0414
complete,183,125,0.0372
shuffle,183,71,0.0212
apis,183,121,0.0361
score,183,68,0.0203
help,180,155,0.0462
entity,180,65,0.0194
codec,179,70,0.0209
source,178,108,0.0322
host,177,78,0.0232
place,177,147,0.0438
delete,177,95,0.0283
indexwriter,177,77,0.0229
contain,175,138,0.0411
must,172,134,0.0399
improvement,171,138,0.0411
resourcemanager,170,75,0.0223
payload,170,44,0.0131
consider,167,135,0.0402
let,167,146,0.0435
ops,167,10,0.003
group,166,70,0.0209
old,164,111,0.0331
directly,164,140,0.0417
algorithm,162,84,0.025
parameter,161,105,0.0313
several,161,134,0.0399
something,160,141,0.042
public,159,78,0.0232
multi,159,109,0.0325
within,159,136,0.0405
mapper,159,67,0.02
step,158,111,0.0331
history,158,68,0.0203
address,157,115,0.0343
avoid,154,132,0.0393
command,153,79,0.0235
config,153,79,0.0235
ability,153,130,0.0387
seem,153,131,0.039
either,152,139,0.0414
low,152,117,0.0349
int,152,73,0.0218
thrpt,152,2,0.0006
parent,151,70,0.0209
next,150,102,0.0304
increase,149,106,0.0316
lock,149,59,0.0176
jar,148,74,0.0221
content,148,85,0.0253
array,148,77,0.0229
manage,147,112,0.0334
big,147,112,0.0334
additional,146,116,0.0346
custom,146,91,0.0271
xml,146,74,0.0221
packedintsdecodebenchmark,146,1,0.0003
scenario,145,115,0.0343
detail,145,131,0.039
jobtracker,144,51,0.0152
apply,143,100,0.0298
attribute,143,53,0.0158
image,142,46,0.0137
count,142,76,0.0226
parse,140,81,0.0241
come,140,119,0.0355
slow,139,112,0.0334
always,138,120,0.0358
compute,138,91,0.0271
network,137,70,0.0209
second,137,105,0.0313
proposal,136,116,0.0346
skip,136,64,0.0191
top,136,93,0.0277
range,136,74,0.0221
project,135,83,0.0247
aggregation,135,49,0.0146
vector,134,58,0.0173
less,134,113,0.0337
model,134,78,0.0232
execution,134,88,0.0262
structure,133,93,0.0277
happen,132,118,0.0352
context,132,83,0.0247
wait,131,84,0.025
generic,131,91,0.0271
cost,131,81,0.0241
reuse,131,79,0.0235
rather,131,119,0.0355
assign,130,84,0.025
execute,130,100,0.0298
finish,130,80,0.0238
hit,130,69,0.0206
relate,128,117,0.0349
failure,128,84,0.025
amount,128,100,0.0298
tag,128,42,0.0125
length,127,61,0.0182
phase,127,74,0.0221
child,127,51,0.0152
really,127,110,0.0328
commit,127,66,0.0197
put,126,94,0.028
gpu,126,25,0.0074
perform,126,101,0.0301
table,126,60,0.0179
max,125,77,0.0229
scheduling,125,81,0.0241
weight,124,56,0.0167
umbrella,123,107,0.0319
stop,123,66,0.0197
error,123,76,0.0226
encode,123,64,0.0191
necessary,122,108,0.0322
efficient,122,104,0.031
main,122,94,0.028
nice,122,112,0.0334
solr,122,68,0.0203
modify,121,101,0.0301
hard,121,88,0.0262
become,120,111,0.0331
right,120,105,0.0313
indexreader,120,61,0.0182
depend,119,106,0.0316
rack,119,45,0.0134
placement,119,58,0.0173
federation,119,73,0.0218
prefix,119,47,0.014
due,118,108,0.0322
least,118,103,0.0307
lead,117,91,0.0271
management,117,75,0.0223
mapping,117,66,0.0197
close,117,68,0.0203
maybe,117,101,0.0301
flow,117,47,0.014
tree,117,55,0.0164
discussion,116,104,0.031
package,116,77,0.0229
whether,115,95,0.0283
generate,115,85,0.0253
overhead,115,92,0.0274
exception,115,71,0.0212
position,115,56,0.0167
final,115,64,0.0191
fast,114,89,0.0265
reason,114,105,0.0313
mode,113,70,0.0209
pool,113,56,0.0167
behavior,113,90,0.0268
space,113,81,0.0241
tool,112,75,0.0223
static,112,61,0.0182
real,112,82,0.0244
rule,112,50,0.0149
requirement,112,94,0.028
around,112,100,0.0298
throw,112,72,0.0215
writer,112,61,0.0182
slot,112,36,0.0107
accept,111,82,0.0244
certain,111,94,0.028
binary,111,61,0.0182
reservation,111,52,0.0155
page,111,61,0.0182
faster,111,94,0.028
optimize,111,84,0.025
report,110,76,0.0226
root,110,56,0.0167
port,110,54,0.0161
actually,110,100,0.0298
compression,110,44,0.0131
provider,109,69,0.0206
environment,109,79,0.0235
enough,109,96,0.0286
full,108,89,0.0265
flush,108,57,0.017
addition,108,100,0.0298
endpoint,107,46,0.0137
collect,107,62,0.0185
speed,107,87,0.0259
clean,107,81,0.0241
prevent,106,94,0.028
master,106,64,0.0191
total,106,65,0.0194
random,105,60,0.0179
partition,105,43,0.0128
optimization,105,79,0.0235
tasktracker,105,41,0.0122
leaf,103,51,0.0152
replace,103,86,0.0256
sure,102,96,0.0286
shape,102,37,0.011
status,101,62,0.0185
interval,101,54,0.0161
collection,101,64,0.0191
tracker,101,37,0.011
searcher,101,31,0.0092
script,100,52,0.0155
maintain,99,81,0.0241
important,99,86,0.0256
protocol,98,68,0.0203
never,98,87,0.0259
preempt,97,47,0.014
particular,97,88,0.0262
locality,97,55,0.0164
ram,97,56,0.0167
general,96,90,0.0268
bad,96,75,0.0223
delay,96,54,0.0161
posting,96,56,0.0167
facet,96,36,0.0107
attach,95,84,0.025
say,95,79,0.0235
post,95,75,0.0223
scorer,95,35,0.0104
hold,94,72,0.0215
future,94,85,0.0253
wrap,94,75,0.0223
benefit,94,88,0.0262
break,94,82,0.0244
choose,93,79,0.0235
original,93,70,0.0209
simply,93,79,0.0235
jvm,93,47,0.014
show,93,84,0.025
active,93,52,0.0155
aggregate,93,50,0.0149
metric,92,47,0.014
distribute,92,73,0.0218
turn,92,74,0.0221
maximum,92,58,0.0173
location,92,56,0.0167
connection,92,44,0.0131
discuss,92,89,0.0265
quite,92,82,0.0244
hbase,92,49,0.0146
capability,92,77,0.0229
utilization,91,58,0.0173
internal,91,71,0.0212
yet,91,79,0.0235
compare,91,75,0.0223
scale,90,52,0.0155
dir,89,29,0.0086
register,89,46,0.0137
global,89,63,0.0188
pdf,89,14,0.0042
expect,89,78,0.0232
cli,88,51,0.0152
override,88,55,0.0164
abstract,88,53,0.0158
thus,88,75,0.0223
basic,87,74,0.0221
pluggable,87,58,0.0173
present,87,74,0.0221
offset,87,43,0.0128
fst,87,27,0.008
minimum,86,49,0.0146
unit,86,62,0.0185
entry,86,52,0.0155
compress,86,44,0.0131
abstraction,86,61,0.0182
analyzer,86,34,0.0101
vulnerability,85,45,0.0134
easily,85,82,0.0244
initial,85,74,0.0221
filesystem,85,53,0.0158
best,85,71,0.0212
router,85,42,0.0125
cve,84,35,0.0104
likely,84,77,0.0229
flexible,84,67,0.02
automatically,84,69,0.0206
inside,84,64,0.0191
setup,84,51,0.0152
consume,84,71,0.0212
save,83,70,0.0209
capacityscheduler,83,50,0.0149
last,83,67,0.02
constraint,83,44,0.0131
retry,83,36,0.0107
great,83,72,0.0215
guarantee,83,60,0.0179
entire,83,76,0.0226
indexsearcher,83,37,0.011
suggest,82,60,0.0179
auto,82,45,0.0134
submission,82,55,0.0164
various,82,74,0.0221
whole,82,71,0.0212
release,81,70,0.0209
especially,81,78,0.0232
progress,81,59,0.0176
fairscheduler,81,45,0.0134
special,81,65,0.0194
parallel,81,56,0.0167
remote,80,38,0.0113
switch,80,58,0.0173
purpose,80,72,0.0215
native,80,59,0.0176
dfs,80,26,0.0077
short,80,60,0.0179
target,80,63,0.0188
creation,79,57,0.017
later,79,71,0.0212
monitor,79,49,0.0146
extract,79,60,0.0179
solve,79,71,0.0212
dynamic,79,53,0.0158
private,79,50,0.0149
leave,79,68,0.0203
limitation,78,58,0.0173
fact,78,72,0.0215
far,78,74,0.0221
therefore,78,72,0.0215
describe,77,69,0.0206
primary,77,43,0.0128
form,77,54,0.0161
recovery,77,45,0.0134
ensure,77,66,0.0197
mapred,77,41,0.0122
decide,77,64,0.0191
min,77,44,0.0131
norm,77,32,0.0095
word,76,42,0.0125
processing,76,56,0.0167
external,76,54,0.0161
distance,76,30,0.0089
docvalues,76,37,0.011
opportunistic,75,33,0.0098
pending,75,40,0.0119
miss,75,60,0.0179
impact,75,59,0.0176
strategy,75,47,0.014
conf,74,31,0.0092
lose,74,48,0.0143
situation,74,64,0.0191
standard,74,50,0.0149
boolean,73,50,0.0149
along,73,66,0.0197
effort,73,69,0.0206
direct,73,40,0.0119
produce,73,58,0.0173
domain,73,29,0.0086
alternative,72,66,0.0197
threshold,72,34,0.0101
win,72,64,0.0191
affect,72,63,0.0188
though,72,68,0.0203
reference,72,57,0.017
simplify,71,53,0.0158
concurrent,71,37,0.011
achieve,71,61,0.0182
occur,70,57,0.017
view,70,52,0.0155
cleanup,70,40,0.0119
ask,70,56,0.0167
plan,70,61,0.0182
iterator,70,42,0.0125
contrib,70,43,0.0128
actual,69,64,0.0191
optional,69,53,0.0158
site,69,42,0.0125
individual,69,60,0.0179
cloud,69,43,0.0128
assume,69,63,0.0188
detect,69,55,0.0164
spatial,69,32,0.0095
serve,68,57,0.017
often,68,62,0.0185
sense,68,65,0.0194
three,68,58,0.0173
device,68,25,0.0074
goal,68,58,0.0173
select,68,47,0.014
previous,68,56,0.0167
rewrite,68,37,0.011
pre,68,51,0.0152
join,68,37,0.011
chain,68,36,0.0107
decommission,67,20,0.006
runtime,67,45,0.0134
related,67,59,0.0176
ideally,67,66,0.0197
workload,67,38,0.0113
upload,67,41,0.0122
identify,67,54,0.0161
dimension,67,32,0.0095
free,67,58,0.0173
impl,66,40,0.0119
detection,66,36,0.0107
ioexception,66,28,0.0083
heap,66,40,0.0119
explore,66,53,0.0158
extension,65,48,0.0143
url,65,34,0.0101
preserve,65,50,0.0149
fine,65,59,0.0176
indexing,65,50,0.0149
vulnerable,65,25,0.0074
determine,64,57,0.017
complex,64,57,0.017
rpc,64,45,0.0134
convert,64,46,0.0137
sometimes,64,59,0.0176
recover,64,44,0.0131
dependency,64,47,0.014
refactoring,64,48,0.0143
branch,64,41,0.0122
database,64,38,0.0113
ipc,64,10,0.003
deal,64,55,0.0164
account,64,44,0.0131
perhaps,64,51,0.0152
seek,64,39,0.0116
upon,63,55,0.0164
hash,63,25,0.0074
merges,63,42,0.0125
configurable,62,50,0.0149
expensive,62,56,0.0167
numeric,62,36,0.0107
mark,61,46,0.0137
concept,61,53,0.0158
dynamically,61,53,0.0158
integrate,61,55,0.0164
link,61,40,0.0119
compatibility,61,48,0.0143
acls,61,34,0.0101
combine,61,50,0.0149
little,61,57,0.017
advantage,60,58,0.0173
unnecessary,60,56,0.0167
overall,60,54,0.0161
shutdown,60,27,0.008
represent,60,46,0.0137
continue,60,52,0.0155
controller,60,15,0.0045
enhance,60,52,0.0155
resolve,60,41,0.0122
probably,60,51,0.0152
iterate,60,49,0.0146
subclass,60,47,0.014
hierarchy,59,41,0.0122
appropriate,59,55,0.0164
difficult,59,55,0.0164
people,59,48,0.0143
suggestion,59,34,0.0101
date,59,33,0.0098
intermediate,58,39,0.0116
early,58,45,0.0134
graph,58,19,0.0057
codecs,58,27,0.008
aware,57,45,0.0134
trace,57,31,0.0092
lookup,57,44,0.0131
debug,57,34,0.0101
disable,57,43,0.0128
analysis,57,40,0.0119
unique,57,42,0.0125
understand,57,54,0.0161
otherwise,57,54,0.0161
schema,57,26,0.0077
description,57,43,0.0128
bulk,56,31,0.0092
remain,56,51,0.0152
pick,56,49,0.0146
potentially,56,50,0.0149
trigger,56,47,0.014
wrapper,56,42,0.0125
late,56,43,0.0128
roll,56,37,0.011
decision,56,46,0.0137
display,55,38,0.0113
duplicate,55,50,0.0149
init,55,20,0.006
force,55,46,0.0137
blacklist,55,20,0.006
cgroups,55,29,0.0086
isolation,55,33,0.0098
bring,55,51,0.0152
header,55,31,0.0092
fully,55,49,0.0146
region,55,19,0.0057
deletes,55,25,0.0074
reopen,55,26,0.0077
dictionary,55,23,0.0069
nrt,55,26,0.0077
explicitly,54,46,0.0137
leverage,54,47,0.014
delegation,54,27,0.008
window,54,29,0.0086
containermanager,54,7,0.0021
reserve,54,35,0.0104
offer,54,47,0.014
secure,54,36,0.0107
extra,54,47,0.014
normal,53,51,0.0152
factor,53,46,0.0137
ticket,53,48,0.0143
bound,53,38,0.0113
arbitrary,53,43,0.0128
ignore,53,40,0.0119
efficiently,53,51,0.0152
pack,53,17,0.0051
indexed,53,38,0.0113
highlighter,53,15,0.0045
rely,52,43,0.0128
variable,52,38,0.0113
relevant,52,44,0.0131
obtain,52,42,0.0125
advance,52,39,0.0116
registry,52,21,0.0063
comment,52,48,0.0143
sparse,52,22,0.0066
sequence,52,29,0.0086
raid,52,21,0.0063
async,51,29,0.0086
temporary,51,31,0.0092
running,51,45,0.0134
util,51,21,0.0063
potential,51,47,0.014
trunk,51,38,0.0113
counter,51,26,0.0077
sync,51,32,0.0095
constructor,51,39,0.0116
forward,51,41,0.0122
box,51,34,0.0101
outside,51,47,0.014
scan,51,39,0.0116
cardinality,51,19,0.0057
stored,51,32,0.0095
benchmark,51,37,0.011
startup,50,27,0.008
spark,50,28,0.0083
character,50,27,0.008
fixed,50,44,0.0131
although,50,50,0.0149
independent,50,44,0.0131
appear,50,45,0.0134
significant,50,48,0.0143
encryption,50,17,0.0051
setting,49,34,0.0101
calculation,49,32,0.0095
profile,49,28,0.0083
backwards,49,38,0.0113
demand,49,40,0.0119
clone,49,28,0.0083
initialize,49,32,0.0095
admin,49,33,0.0098
soon,49,48,0.0143
others,49,47,0.014
care,49,45,0.0134
initialization,49,30,0.0089
near,49,29,0.0086
encrypt,49,13,0.0039
language,49,29,0.0086
combiner,49,19,0.0057
deprecate,48,31,0.0092
percentage,48,22,0.0066
integer,48,29,0.0086
together,48,45,0.0134
tmp,48,17,0.0051
construct,48,41,0.0122
failover,48,26,0.0077
average,48,34,0.0101
costly,48,36,0.0107
quickly,48,44,0.0131
course,48,45,0.0134
couple,48,47,0.014
factory,48,26,0.0077
faceting,48,26,0.0077
polygon,48,19,0.0057
geo,48,25,0.0074
period,47,35,0.0104
deploy,47,32,0.0095
basically,47,44,0.0131
enforce,47,40,0.0119
hence,47,40,0.0119
pull,47,36,0.0107
accord,47,43,0.0128
pair,47,29,0.0086
live,47,34,0.0101
similarity,47,21,0.0063
fieldcache,47,18,0.0054
distributed,46,37,0.011
developer,46,37,0.011
expression,46,20,0.006
daemon,46,34,0.0101
net,46,20,0.006
kind,46,44,0.0131
possibility,46,42,0.0125
correct,46,43,0.0128
lifecycle,46,31,0.0092
timeout,46,30,0.0089
decrease,46,34,0.0101
consistent,46,36,0.0107
namenode,46,25,0.0074
ratio,46,26,0.0077
else,46,38,0.0113
difference,46,41,0.0122
proper,46,40,0.0119
hand,46,43,0.0128
archive,46,20,0.006
sonatype,46,10,0.003
docid,46,36,0.0107
ordinal,46,20,0.006
question,45,35,0.0104
associate,45,39,0.0116
action,45,32,0.0095
corresponding,45,40,0.0119
completion,45,30,0.0089
develop,45,40,0.0119
involve,45,43,0.0128
hook,45,27,0.008
cross,45,33,0.0098
delegate,45,33,0.0098
highlight,45,18,0.0054
reduces,45,27,0.008
speculative,45,17,0.0051
char,45,23,0.0069
candidate,44,28,0.0083
figure,44,41,0.0122
absolute,44,23,0.0069
empty,44,29,0.0086
specifically,44,42,0.0125
fragment,44,16,0.0048
hang,44,28,0.0083
properly,44,43,0.0128
recently,44,44,0.0131
float,44,25,0.0074
super,44,28,0.0083
refer,44,40,0.0119
atsv,44,25,0.0074
safe,44,36,0.0107
longer,44,40,0.0119
tell,44,36,0.0107
protect,44,34,0.0101
void,44,26,0.0077
precision,44,20,0.006
json,43,32,0.0095
category,43,24,0.0072
huge,43,40,0.0119
linux,43,28,0.0083
loop,43,35,0.0104
composite,43,23,0.0069
completely,43,36,0.0107
minimize,43,41,0.0122
iteration,43,25,0.0074
grid,43,14,0.0042
html,43,21,0.0063
stage,42,25,0.0074
compatible,42,33,0.0098
previously,42,36,0.0107
azure,42,21,0.0063
finally,42,40,0.0119
span,42,23,0.0069
dev,42,22,0.0066
serialization,42,27,0.008
suffix,42,14,0.0042
ramdirectory,42,19,0.0057
packed,42,15,0.0045
production,41,39,0.0116
thought,41,39,0.0116
vcores,41,20,0.006
communication,41,31,0.0092
feedback,41,34,0.0101
transition,41,26,0.0077
exit,41,28,0.0083
eventually,41,39,0.0116
supply,41,35,0.0104
enhancement,41,33,0.0098
localization,41,23,0.0069
away,41,37,0.011
session,41,16,0.0048
manner,41,40,0.0119
gain,41,31,0.0092
decode,41,27,0.008
tokenstream,41,20,0.006
consumer,40,26,0.0077
health,40,14,0.0042
flexibility,40,37,0.011
refresh,40,21,0.0063
balance,40,26,0.0077
cover,40,39,0.0116
clear,40,38,0.0113
folder,40,13,0.0039
batch,40,26,0.0077
equal,40,34,0.0101
fill,40,29,0.0086
dirs,40,14,0.0042
focus,40,38,0.0113
virtual,40,22,0.0066
definition,40,25,0.0074
prior,40,27,0.008
significantly,40,39,0.0116
anything,40,37,0.011
bkd,40,21,0.0063
bug,39,35,0.0104
validation,39,24,0.0072
behind,39,32,0.0095
possibly,39,36,0.0107
utility,39,32,0.0095
acl,39,20,0.006
basis,39,33,0.0098
authorization,39,15,0.0045
validate,39,28,0.0083
platform,39,25,0.0074
calculate,39,25,0.0074
condition,39,34,0.0101
download,39,28,0.0083
column,39,17,0.0051
underlie,39,32,0.0095
notice,39,35,0.0104
computation,38,23,0.0069
critical,38,30,0.0089
everything,38,37,0.011
minute,38,28,0.0083
activity,38,17,0.0051
simulator,38,15,0.0045
sample,38,20,0.006
stuff,38,35,0.0104
home,38,16,0.0048
satisfy,38,33,0.0098
typically,38,33,0.0098
mention,38,34,0.0101
fairly,38,36,0.0107
whenever,38,33,0.0098
indicate,38,32,0.0095
ideal,38,33,0.0098
double,38,26,0.0077
rate,38,26,0.0077
blobstore,38,17,0.0051
permission,37,27,0.008
pas,37,29,0.0086
decouple,37,29,0.0086
webapp,37,18,0.0054
consumption,37,34,0.0101
volume,37,18,0.0054
concrete,37,25,0.0074
writes,37,29,0.0086
modification,37,31,0.0092
drive,37,27,0.008
attack,37,18,0.0054
hour,37,25,0.0074
product,37,23,0.0069
boost,37,21,0.0063
clause,37,23,0.0069
blob,37,18,0.0054
inputformat,37,18,0.0054
zero,36,22,0.0066
scope,36,28,0.0083
equivalent,36,28,0.0083
believe,36,34,0.0101
heavy,36,31,0.0092
comparison,36,24,0.0072
interested,36,31,0.0092
software,36,18,0.0054
auxiliary,36,13,0.0039
effect,36,32,0.0095
usually,36,34,0.0101
resourcerequest,36,19,0.0057
deletion,36,24,0.0072
embed,36,26,0.0077
txt,36,10,0.003
slice,36,25,0.0074
locate,35,31,0.0092
reasonable,35,34,0.0101
shell,35,23,0.0069
plain,35,24,0.0072
day,35,26,0.0077
regular,35,32,0.0095
deleted,35,21,0.0063
treat,35,30,0.0089
trivial,35,32,0.0095
rename,35,22,0.0066
phrase,35,25,0.0074
mime,35,11,0.0033
idle,34,23,0.0069
periodically,34,28,0.0083
handling,34,31,0.0092
regard,34,30,0.0089
belong,34,29,0.0086
rms,34,32,0.0095
separately,34,32,0.0095
exact,34,30,0.0089
classpath,34,21,0.0063
mostly,34,32,0.0095
snapshot,34,19,0.0057
deployment,34,25,0.0074
talk,34,28,0.0083
additionally,34,32,0.0095
whatever,34,31,0.0092
asyncdispatcher,34,6,0.0018
compound,34,19,0.0057
raw,34,19,0.0057
pretty,34,32,0.0095
internally,34,33,0.0098
wildcard,34,16,0.0048
prototype,34,24,0.0072
spend,34,30,0.0089
cell,34,15,0.0045
statistic,34,26,0.0077
indexinput,34,19,0.0057
utilize,33,31,0.0092
physical,33,13,0.0039
fit,33,29,0.0086
underlying,33,28,0.0083
towards,33,30,0.0089
meet,33,30,0.0089
respect,33,28,0.0083
exactly,33,32,0.0095
architecture,33,22,0.0066
reading,33,31,0.0092
area,33,31,0.0092
generation,33,23,0.0069
prefer,33,28,0.0083
verify,33,28,0.0083
essentially,33,30,0.0089
program,33,20,0.006
speedup,33,29,0.0086
immediately,33,28,0.0083
capture,33,25,0.0074
lifetime,33,16,0.0048
distcp,33,9,0.0027
flag,33,31,0.0092
ints,33,19,0.0057
readlongs,33,2,0.0006
frequency,32,24,0.0072
attacker,32,15,0.0045
relative,32,18,0.0054
reach,32,29,0.0086
section,32,23,0.0069
style,32,25,0.0074
among,32,29,0.0086
cycle,32,28,0.0083
generalize,32,28,0.0083
listener,32,13,0.0039
optionally,32,30,0.0089
except,32,32,0.0095
almost,32,29,0.0086
concern,32,31,0.0092
beyond,32,27,0.008
replacement,32,21,0.0063
committer,32,9,0.0027
bucket,32,8,0.0024
decodenaivefrombytes,32,1,0.0003
decodenaivefromlongs,32,1,0.0003
decodesimd,32,1,0.0003
configs,31,22,0.0066
practice,31,26,0.0077
distribution,31,24,0.0072
intend,31,30,0.0089
bundle,31,16,0.0048
jhs,31,16,0.0048
valid,31,28,0.0083
argument,31,23,0.0069
synchronization,31,21,0.0063
experiment,31,26,0.0077
crash,31,23,0.0069
catalog,31,12,0.0036
combination,31,27,0.008
life,31,28,0.0083
localizer,31,6,0.0018
dns,31,17,0.0051
past,31,28,0.0083
spill,31,20,0.006
simpler,31,31,0.0092
overlap,31,19,0.0057
hive,31,24,0.0072
push,31,26,0.0077
correctly,31,27,0.008
syntax,31,12,0.0036
caller,31,24,0.0072
chunk,31,13,0.0039
queryparser,31,13,0.0039
automaton,31,15,0.0045
experience,30,26,0.0077
world,30,22,0.0066
recommend,30,24,0.0072
zookeeper,30,17,0.0051
exclusive,30,12,0.0036
terminate,30,22,0.0066
discovery,30,18,0.0054
waste,30,23,0.0069
behave,30,26,0.0077
simulate,30,18,0.0054
localize,30,24,0.0072
robust,30,23,0.0069
success,30,11,0.0033
problematic,30,25,0.0074
workflow,30,17,0.0051
principal,30,11,0.0033
integration,30,26,0.0077
engine,30,22,0.0066
namespace,30,13,0.0039
challenge,30,26,0.0077
item,30,23,0.0069
contribute,30,26,0.0077
complexity,30,27,0.008
newly,30,25,0.0074
reverse,30,20,0.006
slightly,30,25,0.0074
recent,30,28,0.0083
visit,30,19,0.0057
association,30,12,0.0036
jobclient,30,21,0.0063
atomic,30,16,0.0048
pipe,30,14,0.0042
serialize,30,18,0.0054
fsdirectory,30,15,0.0045
extraction,30,23,0.0069
google,29,23,0.0069
flex,29,16,0.0048
exceed,29,24,0.0072
administrator,29,25,0.0074
stack,29,23,0.0069
documentation,29,26,0.0077
grain,29,25,0.0074
round,29,19,0.0057
eliminate,29,27,0.008
review,29,27,0.008
bind,29,21,0.0063
medium,29,19,0.0057
stats,29,11,0.0033
catch,29,23,0.0069
tasktrackers,29,19,0.0057
edge,29,12,0.0036
dict,29,15,0.0045
dispatcher,28,15,0.0045
nothing,28,26,0.0077
migrate,28,25,0.0074
manually,28,25,0.0074
driver,28,15,0.0045
responsible,28,25,0.0074
reject,28,21,0.0063
topology,28,12,0.0036
cgroup,28,15,0.0045
ifile,28,5,0.0015
cod,28,24,0.0072
sorting,28,26,0.0077
